Juviniles, Adults, Seniles, Total
26,58,13,97
116,26,58,200
52,23,26,101
46,10,23,79
20,46,10,76
92,20,46,158
40,92,20,152
184,40,92,316
80,37,40,157
74,16,37,127
32,15,16,63
30,32,15,77
64,30,32,126
60,64,30,154
128,60,64,252
120,26,60,206
52,24,26,102
48,62,24,134
124,10,62,196
20,25,10,55
50,20,25,95
40,50,20,110
100,40,50,190
80,100,40,220
200,16,100,316
32,40,16,88
80,32,40,152
64,80,32,176
160,64,80,304
128,32,64,224
64,154,32,250
308,13,154,475
26,370,13,409
740,31,370,1141
62,888,31,981
1776,12,888,2676
24,355,12,391
710,29,355,1094
58,142,29,229
284,70,142,496
140,57,70,267
114,28,57,199
56,23,28,107
46,11,23,80
22,46,11,79
92,22,46,160
44,92,22,158
184,44,92,320
88,221,44,353
442,18,221,681
36,530,18,584
1060,7,530,1597
14,1272,7,1293
2544,3,1272,3819
6,3053,3,3062
6106,1,3053,9160
2,1221,1,1224
2442,0,1221,3663
0,2930,0,2930
5860,0,2930,8790
0,7032,0,7032
14064,0,7032,21096
0,2813,0,2813
5626,0,2813,8439
0,1125,0,1125
2250,0,1125,3375
0,450,0,450
900,0,450,1350
0,180,0,180
360,0,180,540
0,72,0,72
144,0,72,216
0,29,0,29
58,0,29,87
0,58,0,58
116,0,58,174
0,116,0,116
232,0,116,348
0,46,0,46
92,0,46,138
0,92,0,92
184,0,92,276
0,37,0,37
74,0,37,111
0,74,0,74
148,0,74,222
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,48,0,48
96,0,48,144
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,48,0,48
96,0,48,144
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,48,0,48
96,0,48,144
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,288,0,288
576,0,288,864
0,115,0,115
230,0,115,345
0,46,0,46
92,0,46,138
0,92,0,92
184,0,92,276
0,37,0,37
74,0,37,111
0,74,0,74
148,0,74,222
0,178,0,178
356,0,178,534
0,427,0,427
854,0,427,1281
0,1025,0,1025
2050,0,1025,3075
0,2460,0,2460
4920,0,2460,7380
0,984,0,984
1968,0,984,2952
0,394,0,394
788,0,394,1182
0,158,0,158
316,0,158,474
