Juviniles, Adults, Seniles, Total
3375231516672586229426,1272168082943877599650,1687615758336293114713,6335015357952756943789
2544336165887755199300,2700185213338068983541,1272168082943877599650,6516689462169701782491
5400370426676137967082,2035468932710204159440,2700185213338068983541,10136024572724411110063
4070937865420408318880,3780259298673296576957,2035468932710204159440,9886666096803909055277
7560518597346593153914,3256750292336326655104,3780259298673296576957,14597528188356216385975
6513500584672653310208,4536311158407955892348,3256750292336326655104,14306562035416935857660
9072622316815911784696,3256750292336326655104,4536311158407955892348,16865683767560194332148
6513500584672653310208,7258097853452729427757,3256750292336326655104,17028348730461709393069
14516195706905458855514,5210800467738122648166,7258097853452729427757,26985094028096310931437
10421600935476245296332,7258097853452729427757,5210800467738122648166,22890499256667097372255
14516195706905458855514,8337280748380996237066,7258097853452729427757,30111574308739184520337
16674561496761992474132,11612956565524367084411,8337280748380996237066,36624798810667355795609
23225913131048734168822,8337280748380996237066,11612956565524367084411,43176150444954097490299
16674561496761992474132,16258139191734113918175,8337280748380996237066,41269981436877102629373
32516278383468227836350,10004736898057195484479,16258139191734113918175,58779154473259537239004
20009473796114390968958,26013022706774582269080,10004736898057195484479,56027233400946168722517
52026045413549164538160,10004736898057195484479,26013022706774582269080,88043805018380942291719
20009473796114390968958,41620836330839331630528,10004736898057195484479,71635047025010918083965
83241672661678663261056,10004736898057195484479,41620836330839331630528,134867245890575190376063
20009473796114390968958,58269170863175064282739,10004736898057195484479,88283381557346650736176
116538341726350128565478,14006631657280073678271,58269170863175064282739,188814144246805266526488
28013263314560147356542,69923005035810077139287,14006631657280073678271,111942900007650298174100
139846010071620154278574,14006631657280073678271,69923005035810077139287,223775646764710305096132
28013263314560147356542,83907606042972092567144,14006631657280073678271,125927501014812313601957
167815212085944185134288,16807957988736088413925,83907606042972092567144,268530776117652366115357
33615915977472176827850,117470648460160929594002,16807957988736088413925,167894522426369194835777
234941296920321859188004,23531141184230523779495,117470648460160929594002,375943086564713312561501
47062282368461047558990,187953037536257487350403,23531141184230523779495,258546461088949058688888
375906075072514974700806,37649825894768838047192,187953037536257487350403,601508938503541300098401
75299651789537676094384,187953037536257487350403,37649825894768838047192,300902515220564001491979
375906075072514974700806,45179791073722605656630,187953037536257487350403,609038903682495067707839
90359582147445211313260,300724860058011979760645,45179791073722605656630,436264233279179796730535
601449720116023959521290,54215749288467126787956,300724860058011979760645,956390329462503066069891
108431498576934253575912,360869832069614375712774,54215749288467126787956,523517079935015756076642
721739664139228751425548,54215749288467126787956,360869832069614375712774,1136825245497310253926278
108431498576934253575912,433043798483537250855329,54215749288467126787956,595691046348938631219197
866087596967074501710658,75902049003853977503138,433043798483537250855329,1375033444454465730069125
151804098007707955006276,519652558180244701026395,75902049003853977503138,747358705191806633535809
1039305116360489402052790,121443278406166364005021,519652558180244701026395,1680400952946900467084206
242886556812332728010042,623583069816293641231674,121443278406166364005021,987912905034792733246737
1247166139632587282463348,194309245449866182408034,623583069816293641231674,2065058454898747106103056
388618490899732364816068,623583069816293641231674,194309245449866182408034,1206510806165892188455776
