Juviniles, Adults, Seniles, Total
380239960606097147276074978,3110587531440242442011280,190119980303048573638037489,573470528440585963356123747
6221175062880484884022560,266167972424268003093252485,3110587531440242442011280,275499735018588730419286325
532335944848536006186504970,3732705037728290930413536,266167972424268003093252485,802236622310532300210170991
7465410075456581860827072,425868755878828804949203976,3732705037728290930413536,437066870992013677740444584
851737511757657609898407952,3732705037728290930413536,425868755878828804949203976,1281338972674214705778025464
7465410075456581860827072,425868755878828804949203976,3732705037728290930413536,437066870992013677740444584
851737511757657609898407952,3732705037728290930413536,425868755878828804949203976,1281338972674214705778025464
7465410075456581860827072,425868755878828804949203976,3732705037728290930413536,437066870992013677740444584
851737511757657609898407952,4479246045273949116496243,425868755878828804949203976,1282085513681760363964108171
8958492090547898232992486,596216258230360326928885566,4479246045273949116496243,609653996366182174278374295
1192432516460720653857771132,5375095254328738939795492,596216258230360326928885566,1794023869945409719726452190
10750190508657477879590984,953946013168576523086216906,5375095254328738939795492,970071298931562739905603382
1907892026337153046172433812,8600152406925982303672787,953946013168576523086216906,2870438191912655551562323505
17200304813851964607345574,1526313621069722436937947050,8600152406925982303672787,1552114078290500383848965411
3052627242139444873875894100,10320182888311178764407344,1526313621069722436937947050,4589261046097478489578248494
20640365776622357528814688,1831576345283666924325536460,10320182888311178764407344,1862536893948600460618758492
3663152690567333848651072920,14448256043635650270170282,1831576345283666924325536460,5509177291894636423246779662
28896512087271300540340564,1831576345283666924325536460,14448256043635650270170282,1874921113414573875136047306
3663152690567333848651072920,17337907252362780324204338,1831576345283666924325536460,5512066943103363553300813718
34675814504725560648408676,2197891614340400309190643752,17337907252362780324204338,2249905336097488650163256766
4395783228680800618381287504,24273070153307892453886073,2197891614340400309190643752,6617947913174508820025817329
48546140306615784907772146,3516626582944640494705030003,24273070153307892453886073,3589445793404564172066688222
7033253165889280989410060006,38836912245292627926217717,3516626582944640494705030003,10588716661079214112041307726
77673824490585255852435434,4219951899533568593646036004,38836912245292627926217717,4336462636269446477424689155
8439903799067137187292072008,38836912245292627926217717,4219951899533568593646036004,12698692610845998408864325729
77673824490585255852435434,5063942279440282312375243205,38836912245292627926217717,5180453016176160196153896356
10127884558880564624750486410,62139059592468204681948347,5063942279440282312375243205,15253965897913315141807677962
124278119184936409363896694,7089519191216395237325340487,62139059592468204681948347,7275936369993799851371185528
14179038382432790474650680974,74566871510961845618338016,7089519191216395237325340487,21343124445160147557594359477
149133743021923691236676032,7089519191216395237325340487,74566871510961845618338016,7313219805749280774180354535
14179038382432790474650680974,119306994417538952989340826,7089519191216395237325340487,21387864568066724664965362287
