Juviniles, Adults, Seniles, Total
2,26,1,30
52,2,26,81
5,52,2,60
104,5,52,161
10,21,5,36
42,10,21,72
20,42,10,71
84,20,42,145
39,100,20,159
200,8,100,308
16,241,8,264
481,3,241,725
6,577,3,587
1155,1,577,1733
2,1386,1,1389
2771,0,1386,4157
1,554,0,556
1108,0,554,1663
0,222,0,222
443,0,222,665
0,532,0,532
1064,0,532,1596
0,213,0,213
426,0,213,638
0,85,0,85
170,0,85,255
0,34,0,34
68,0,34,102
0,14,0,14
27,0,14,41
0,27,0,27
54,0,27,82
0,54,0,55
109,0,54,164
0,22,0,22
44,0,22,66
0,44,0,44
87,0,44,131
1,105,0,106
209,0,105,314
0,251,0,251
502,0,251,753
0,100,0,101
201,0,100,301
0,40,0,41
80,0,40,121
1,16,0,17
32,1,16,49
1,32,1,34
64,1,32,97
2,64,1,67
129,2,64,195
4,26,2,32
51,4,26,81
8,51,4,63
103,8,51,162
16,123,8,148
247,3,123,373
6,49,3,59
99,1,49,149
3,118,1,122
237,1,118,356
1,47,1,49
95,1,47,143
2,114,1,117
227,2,114,344
5,45,2,53
91,1,45,137
2,18,1,21
36,2,18,57
4,36,2,42
73,4,36,113
8,15,4,26
29,8,15,52
16,29,8,53
58,16,29,103
32,70,16,117
140,38,70,248
76,168,38,282
335,15,168,518
30,67,15,113
134,6,67,207
12,27,6,45
54,12,27,93
24,54,12,90
107,24,54,185
49,129,24,202
258,10,129,396
19,52,10,81
103,4,52,158
8,21,4,32
41,8,21,70
16,41,8,65
82,16,41,139
31,16,16,63
33,6,16,56
12,7,6,25
13,12,7,32
25,13,12,51
26,25,13,64
50,26,25,101
53,10,26,89
20,63,10,93
127,24,63,214
48,25,24,97
51,10,25,86
19,10,10,39
20,19,10,49
38,20,19,78
41,38,20,99
76,41,38,155
81,15,41,137
31,16,15,62
32,6,16,55
12,6,6,25
13,12,6,32
24,13,12,50
26,24,13,63
49,26,24,99
52,49,26,127
98,10,49,157
21,20,10,51
39,4,20,63
8,8,4,20
16,8,8,32
17,16,8,41
31,17,16,64
33,31,17,81
63,33,31,127
66,75,33,175
150,13,75,239
27,30,13,70
60,5,30,95
11,12,5,28
24,11,12,47
21,24,11,56
48,21,24,93
42,48,21,112
96,8,48,153
17,19,8,45
38,17,19,75
34,38,17,89
77,34,38,149
68,15,34,117
31,14,15,60
27,6,14,47
12,27,6,46
54,12,27,94
25,54,12,91
109,25,54,188
49,22,25,96
43,10,22,75
20,52,10,82
104,4,52,161
8,21,4,33
42,8,21,71
16,42,8,65
84,16,42,141
32,17,16,64
33,6,17,56
13,7,6,26
13,13,7,33
25,13,13,51
27,25,13,65
50,27,25,102
53,10,27,90
20,11,10,41
21,20,11,52
40,21,20,82
43,40,21,104
81,9,40,130
17,16,9,42
32,17,16,66
34,32,17,84
65,34,32,131
68,13,34,116
26,14,13,52
27,5,14,46
10,27,5,43
55,10,27,92
21,55,10,86
109,21,55,185
41,22,21,84
44,8,22,74
17,9,8,34
18,17,9,43
33,18,17,67
35,33,18,86
66,35,33,134
70,13,35,118
26,14,13,54
28,32,14,74
63,6,32,101
11,13,6,30
25,11,13,49
22,25,11,59
51,22,25,99
45,51,22,118
102,9,51,161
18,20,9,47
41,18,20,79
36,41,18,94
81,36,41,158
72,16,36,124
32,14,16,63
29,39,14,82
78,6,39,123
11,94,6,111
187,14,94,294
28,37,14,79
75,6,37,118
11,15,6,32
30,11,15,56
22,30,11,63
60,22,30,112
44,72,22,138
144,9,72,224
18,172,9,199
345,4,172,521
7,69,4,80
138,8,69,215
17,28,8,53
55,20,28,103
41,66,20,127
132,8,66,207
16,26,8,51
53,3,26,83
6,11,3,20
21,6,11,38
13,21,6,41
42,13,21,77
26,42,13,81
85,26,42,153
52,17,26,95
34,62,17,113
125,7,62,194
14,25,7,45
50,14,25,88
27,50,14,91
100,27,50,177
54,120,27,201
240,11,120,370
22,48,11,80
96,4,48,148
9,19,4,32
38,9,19,66
17,38,9,64
77,17,38,132
35,92,17,144
184,7,92,283
14,37,7,58
74,3,37,113
6,15,3,23
29,6,15,50
11,29,6,46
59,11,29,99
22,59,11,92
118,22,59,199
44,141,22,208
283,9,141,433
18,339,9,366
678,21,339,1039
43,136,21,200
271,9,136,416
17,54,9,80
109,3,54,166
7,22,3,32
43,7,22,72
14,43,7,64
87,14,43,144
27,17,14,58
35,5,17,58
11,7,5,23
14,11,7,32
22,14,11,47
28,22,14,64
44,28,22,93
56,44,28,127
87,11,44,142
22,17,11,51
35,27,17,79
53,42,27,122
84,11,42,136
21,101,11,133
201,26,101,328
51,40,26,117
81,10,40,131
20,16,10,47
32,20,16,69
41,32,20,94
64,41,32,138
82,13,41,136
26,98,13,137
197,5,98,300
10,39,5,55
79,2,39,120
4,16,2,22
31,4,16,51
8,31,4,44
63,8,31,103
16,13,8,37
25,16,13,54
33,25,16,75
50,33,25,109
66,60,33,159
121,13,60,194
26,24,13,64
48,32,24,104
63,10,32,105
19,13,10,42
25,19,13,57
39,25,19,83
51,39,25,115
77,10,39,126
20,93,10,123
186,4,93,282
8,223,4,235
445,2,223,670
3,89,2,94
178,1,89,268
1,36,1,38
71,1,36,108
3,14,1,18
29,3,14,45
5,29,3,36
57,5,29,91
10,57,5,73
114,10,57,181
21,23,10,54
46,4,23,73
8,9,4,22
18,8,9,36
17,18,8,43
36,17,18,71
33,36,17,86
73,33,36,143
66,15,33,114
29,13,15,57
27,6,13,46
12,27,6,44
53,12,27,91
23,53,12,88
106,23,53,183
47,21,23,91
43,9,21,73
19,9,9,37
17,19,9,44
37,17,19,73
